Frequency,Signal To Noise,Max Magnitude,Avg dBm,Average Phase,Entropy,PSD,Amplitude,RMS,Classification
1272355154,0.0004897349,1880.6354,46.24,-156.08578,5.067798271432884,-6.9438324,937.92206,648.9278,Jamming
160000000,0.07059656,1.358728,-11.56,-1.594572,4.261994973075484,-6.7268744,0.6198827,0.8357567,Safe
1168213129,0.2666916,636.72186,37.49,5299.2803,5.115077598077505,-7.19307,317.25922,236.86043,Jamming
536440262,8.490515e-05,559.0615,36.33,6002.969,4.933290969644459,-7.3988385,278.65015,207.17644,Jamming
603016337,0.00013615807,1789.6193,45.23,-21.023403,5.007234776104623,-7.0051355,893.25446,577.42694,Jamming
160000000,0.042611875,1.2986408,-11.95,-4.5093684,4.315611592743446,-6.704286,0.62967783,0.7986025,Safe
886825866,0.00016877324,1029.9539,41.0,1041.6938,5.053133268160581,-7.0460463,514.08374,354.8782,Jamming
769433830,0.19242488,475.32202,35.3,-165.93135,5.114664006788742,-7.497994,235.65826,184.05035,Jamming
1252595511,0.08471781,1454.5782,38.45,110.58809,4.35761077708901,-7.729339,726.7461,264.60175,Jamming
70000000,0.026388587,1.3017694,-12.18,1.7073834,4.355637164434947,-6.6438537,0.629642,0.7781523,Safe
1827988090,7.71395e-05,322.42487,35.24,5008.728,4.856856455006239,-7.5529165,157.94394,182.83246,Jamming
1909889250,3.002762e-05,700.5213,38.39,5899.2075,5.114978942787134,-7.1084576,348.47678,262.6272,Jamming
1335564092,0.09263962,2126.4648,46.65,474.1994,4.99361412238074,-7.0247126,1062.1237,680.2477,Jamming
1768460498,0.00025936967,2080.2893,46.2,-132.26729,4.96516191905071,-7.0349994,1037.9738,645.6344,Jamming
1691967073,4.8147635e-05,1657.8853,44.93,1405.7203,5.044998684864617,-6.993744,825.7012,558.0174,Jamming
1825016055,0.02242861,2128.0127,42.02,-52.782043,4.461644180384308,-7.541892,1063.2335,398.98898,Jamming
1320461497,0.23155214,1904.4485,45.9,274.7655,5.019540851762471,-7.010556,952.0839,623.46735,Jamming
1169793627,0.14163412,1277.1215,36.84,-167.35126,4.146716597998329,-7.9453015,638.1266,219.783,Jamming
1356492829,0.06969437,503.75464,35.5,-807.5952,5.130829031478731,-7.265926,251.02156,188.27335,Jamming
70000000,0.11727475,1.3169969,-11.61,-13.713423,4.275857216410952,-6.6706157,0.6312788,0.83061713,Safe
1666638142,0.35440773,538.87024,36.29,5396.0684,5.007850801337167,-7.3776293,268.33932,206.35,Jamming
100000000,0.011699699,1.3395654,-11.63,5.2527514,4.265392195347037,-6.7110157,0.63337487,0.8291661,Safe
682149934,0.27434355,469.58716,35.41,78.45436,5.146664728765956,-7.427862,234.52257,186.4037,Jamming
810709720,0.09553091,636.1715,36.85,-430.0184,5.060792034189701,-7.1936607,317.10455,220.10178,Jamming
815436304,7.144469e-05,771.9599,36.32,140.55263,4.871952763146467,-7.3473806,385.77454,207.04097,Jamming
964727711,0.14211065,1371.8905,35.1,-21.948038,3.0120185449867485,-8.917783,685.783,179.9646,Jamming
1077528256,0.30432874,413.70605,35.15,-146.3826,5.25646345366401,-7.5661097,206.21637,180.84753,Jamming
100000000,0.029014226,1.3947226,-11.39,1.8072058,4.287885751933015,-6.682333,0.6654325,0.85186696,Safe
897417792,0.037449863,2044.7078,39.56,-190.52159,4.132362145567805,-7.839776,1021.2927,300.73105,Jamming
90000000,0.17670894,1.2668455,-12.0,14.865924,4.364266483704023,-6.717237,0.5812057,0.7944296,Safe
120000000,0.015944924,1.2804207,-11.78,-4.221159,4.306981965031612,-6.647418,0.59813887,0.8150747,Safe
1177476920,0.1482032,551.2246,36.53,10198.033,5.01993915749668,-7.3161116,275.16992,212.12056,Jamming
140000000,0.01084716,1.3735439,-11.77,6.818876,4.209940533645808,-6.729329,0.60989237,0.8159429,Safe
599062149,3.1982698,384.22357,35.12,742.56287,5.289973979341558,-7.869093,191.6011,180.29439,Jamming
100000000,0.07030468,1.3212306,-11.82,8.296644,4.336541435985801,-6.678761,0.5981177,0.8105147,Safe
90000000,0.025999028,1.3865658,-11.81,3.7279947,4.391993363146876,-6.6571965,0.64986813,0.8117045,Safe
1761789930,0.04626256,1046.3015,40.61,2901.3552,5.000270856945507,-7.1163054,522.0858,339.21902,Jamming
831300781,6.419673e-05,657.96826,37.3,2136.3975,5.005786220723912,-7.262979,327.86493,231.77391,Jamming
504578798,0.0002428036,1819.0079,44.42,-109.719246,4.896828173962632,-7.0893917,908.7891,525.7679,Jamming
140000000,0.052095544,1.3620001,-11.56,2.8417704,4.37289826288993,-6.615491,0.6016776,0.83599913,Safe
160000000,0.01794637,1.366298,-11.77,17.9747,4.314048143917381,-6.698431,0.6463869,0.8153268,Safe
1918154164,4.659472e-06,2109.1184,45.61,63.997383,4.891039539131137,-7.0990334,1049.2013,603.12463,Jamming
100000000,0.02486361,1.3686072,-11.71,-10.597381,4.367665833942946,-6.6030254,0.5623202,0.8213035,Safe
